rank,mod_type,fll_bw,costas_bw,sym_bw,preamble_size,avg_ber,min_ber,avg_pdr,max_noise_tolerance,composite_score,tested_scenarios
212,QPSK,0.0314,0.12,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
213,BPSK,0.0314,0.1,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
214,QPSK,0.05,0.06,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
215,QPSK,0.0628,0.05,0.109,32,0.0,0.0,80.0,0.0,1798.4,1
216,QPSK,0.02,0.12,0.125,32,0.0,0.0,80.0,0.0,1798.4,1
217,BPSK,0.0314,0.065,0.025,32,0.0,0.0,80.0,0.0,1798.4,1
218,BPSK,0.05,0.075,0.043,32,0.0,0.0,80.0,0.0,1798.4,1
219,BPSK,0.05,0.115,0.059,32,0.0,0.0,80.0,0.0,1798.4,1
220,QPSK,0.0314,0.1,0.023,32,0.0,0.0,80.0,0.0,1798.4,1
221,BPSK,0.02,0.035,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
222,BPSK,0.0314,0.095,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
223,QPSK,0.0314,0.11,0.083,32,0.0,0.0,80.0,0.0,1798.4,1
224,QPSK,0.0314,0.025,0.139,32,0.0,0.0,80.0,0.0,1798.4,1
225,BPSK,0.05,0.085,0.009,32,0.0,0.0,80.0,0.0,1798.4,1
226,QPSK,0.0628,0.09,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
227,BPSK,0.0628,0.045,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
228,QPSK,0.0314,0.04,0.135,32,0.0,0.0,80.0,0.0,1798.4,1
229,QPSK,0.0314,0.04,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
230,QPSK,0.0314,0.08,0.121,32,0.0,0.0,80.0,0.0,1798.4,1
231,QPSK,0.02,0.06,0.045,32,0.0,0.0,80.0,0.0,1798.4,1
232,QPSK,0.02,0.075,0.117,32,0.0,0.0,80.0,0.0,1798.4,1
233,BPSK,0.02,0.065,0.023,32,0.0,0.0,80.0,0.0,1798.4,1
234,BPSK,0.05,0.035,0.007,32,0.0,0.0,80.0,0.0,1798.4,1
235,QPSK,0.05,0.055,0.107,32,0.0,0.0,80.0,0.0,1798.4,1
236,BPSK,0.0628,0.045,0.005,32,0.0,0.0,80.0,0.0,1798.4,1
237,BPSK,0.05,0.12,0.017,32,0.0,0.0,80.0,0.0,1798.4,1
238,BPSK,0.02,0.06,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
239,QPSK,0.0314,0.045,0.097,32,0.0,0.0,80.0,0.0,1798.4,1
240,QPSK,0.0628,0.08,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
241,QPSK,0.0314,0.06,0.111,32,0.0,0.0,80.0,0.0,1798.4,1
242,QPSK,0.02,0.04,0.019,32,0.0,0.0,80.0,0.0,1798.4,1
243,QPSK,0.0314,0.1,0.113,32,0.0,0.0,80.0,0.0,1798.4,1
244,QPSK,0.02,0.055,0.041,32,0.0,0.0,80.0,0.0,1798.4,1
245,BPSK,0.0314,0.045,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
246,BPSK,0.05,0.105,0.015,32,0.0,0.0,80.0,0.0,1798.4,1
247,QPSK,0.02,0.04,0.133,32,0.0,0.0,80.0,0.0,1798.4,1
248,QPSK,0.0314,0.085,0.129,32,0.0,0.0,80.0,0.0,1798.4,1
249,BPSK,0.0314,0.085,0.027,32,0.0,0.0,80.0,0.0,1798.4,1
250,QPSK,0.0314,0.08,0.039,32,0.0,0.0,80.0,0.0,1798.4,1
251,QPSK,0.05,0.115,0.091,32,0.0,0.0,80.0,0.0,1798.4,1
252,QPSK,0.02,0.04,0.031,32,0.0,0.0,80.0,0.0,1798.4,1
253,QPSK,0.05,0.075,0.017,32,0.0,0.0,80.0,0.0,1798.4,1
254,QPSK,0.05,0.07,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
255,QPSK,0.05,0.105,0.107,32,0.0,0.0,80.0,0.0,1798.4,1
256,QPSK,0.05,0.06,0.057,32,0.0,0.0,80.0,0.0,1798.4,1
257,QPSK,0.0628,0.095,0.137,32,0.0,0.0,80.0,0.0,1798.4,1
258,BPSK,0.05,0.08,0.011,32,0.0,0.0,80.0,0.0,1798.4,1
259,QPSK,0.0314,0.085,0.087,32,0.0,0.0,80.0,0.0,1798.4,1
