Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.0314,0.4479,0.1092,32,0.15,0.0,1.0,70.0,0.0075,7,10,0.07397651672363281
QPSK,0.0314,0.2395,0.4739,32,0.0,0.0,1.0,0.0,0.5,0,10,0.06677675247192383
BPSK,0.0314,0.1092,0.005,32,0.0,0.0,1.0,90.0,0.0,9,10,0.08274555206298828
QPSK,0.0314,0.0628,0.045,64,0.2,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.05889725685119629
QPSK,0.0314,0.0628,0.08,16,0.1,0.005,1.0,90.0,0.0025000000000000005,9,10,0.053510189056396484
QPSK,0.0314,0.0628,0.025,32,0.2,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.07037806510925293
QPSK,0.0314,0.3697,0.1613,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07040786743164062
BPSK,0.0314,0.0628,0.025,48,0.2,0.005,1.0,90.0,0.0025000000000000005,9,10,0.06504058837890625
QPSK,0.0314,0.0628,0.025,24,0.2,0.005,1.0,90.0,0.0025000000000000005,9,10,0.06025958061218262
BPSK,0.0314,0.0628,0.045,64,0.05,0.005,1.0,70.0,0.0075,7,10,0.06961822509765625
BPSK,0.05,0.03,0.045,32,0.02,-0.03,1.0,90.0,0.0025000000000000005,9,10,0.06945610046386719
BPSK,0.0314,0.4479,0.1613,32,0.0,0.0,1.0,30.0,0.35,3,10,0.06745529174804688
QPSK,0.02,0.03,0.045,32,0.02,-0.015,1.0,80.0,0.005000000000000001,8,10,0.06250667572021484
BPSK,0.0314,0.0628,0.025,16,0.5,0.005,0.9998,90.0,0.0025000000000000005,9,10,0.05197620391845703
BPSK,0.0314,0.005,0.0832,32,0.15,0.0,1.0,40.0,0.015,4,10,0.06749534606933594
QPSK,0.0314,0.2134,0.4218,32,0.15,0.0,1.0,60.0,0.010000000000000002,6,10,0.06961393356323242
BPSK,0.0314,0.2655,0.1874,32,0.0,0.0,1.0,70.0,0.15,7,10,0.05098867416381836
QPSK,0.0314,0.0311,0.2134,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07344484329223633
BPSK,0.0314,0.4218,0.2134,32,0.0,0.0,1.0,80.0,0.1,8,10,0.0707237720489502
QPSK,0.0314,0.2134,0.2916,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.08164596557617188
QPSK,0.0314,0.0628,0.045,16,0.05,0.005,1.0002,90.0,0.0025000000000000005,9,10,0.04940629005432129
QPSK,0.0314,0.4218,0.3176,32,0.0,0.0,1.0,0.0,0.5,0,10,0.06511998176574707
BPSK,0.12,0.1,0.045,32,0.02,0.0,1.0,90.0,0.0025000000000000005,9,10,0.06442546844482422
QPSK,0.0314,0.0628,0.045,32,0.35,0.005,0.9995,90.0,0.0025000000000000005,9,10,0.06499099731445312
BPSK,0.0314,0.1613,0.1353,32,0.0,0.0,1.0,40.0,0.3,4,10,0.06363391876220703
QPSK,0.0314,0.1613,0.0832,32,0.15,0.0,1.0,90.0,0.0025000000000000005,9,10,0.07069587707519531
