Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
BPSK,0.01,0.0628,0.025,48,0.45,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.04061007499694824
BPSK,0.01,0.0628,0.025,48,0.45,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.056290626525878906
BPSK,0.01,0.0628,0.025,48,0.45,0.0,0.9998,90.0,0.005000000000000001,9,10,0.0476839542388916
BPSK,0.01,0.0628,0.025,48,0.45,0.0,1.0002,90.0,0.005000000000000001,9,10,0.043637752532958984
BPSK,0.01,0.0628,0.025,48,0.45,0.015,0.9998,90.0,0.005000000000000001,9,10,0.04646801948547363
BPSK,0.01,0.0628,0.025,48,0.45,0.015,1.0002,90.0,0.005000000000000001,9,10,0.047045230865478516
BPSK,0.01,0.0628,0.045,16,0.0,-0.015,0.9998,90.0,0.0,9,10,0.05063056945800781
BPSK,0.01,0.0628,0.045,16,0.0,-0.015,1.0002,90.0,0.0,9,10,0.05109667778015137
BPSK,0.01,0.0628,0.045,16,0.0,0.0,0.9998,90.0,0.0,9,10,0.04055309295654297
BPSK,0.01,0.0628,0.045,16,0.0,0.0,1.0002,90.0,0.0,9,10,0.04570960998535156
BPSK,0.01,0.0628,0.045,16,0.0,0.015,0.9998,90.0,0.0,9,10,0.051319122314453125
BPSK,0.01,0.0628,0.045,16,0.0,0.015,1.0002,90.0,0.0,9,10,0.04378390312194824
BPSK,0.01,0.0628,0.045,16,0.2,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.0401155948638916
BPSK,0.01,0.0628,0.045,16,0.2,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.04941749572753906
BPSK,0.01,0.0628,0.045,16,0.2,0.0,0.9998,90.0,0.005000000000000001,9,10,0.051740169525146484
BPSK,0.01,0.0628,0.045,16,0.2,0.0,1.0002,90.0,0.005000000000000001,9,10,0.04636359214782715
BPSK,0.01,0.0628,0.045,16,0.2,0.015,0.9998,90.0,0.005000000000000001,9,10,0.03821206092834473
BPSK,0.01,0.0628,0.045,16,0.2,0.015,1.0002,90.0,0.005000000000000001,9,10,0.04494738578796387
BPSK,0.01,0.0628,0.045,16,0.45,-0.015,0.9998,90.0,0.005000000000000001,9,10,0.057582855224609375
BPSK,0.01,0.0628,0.045,16,0.45,-0.015,1.0002,90.0,0.005000000000000001,9,10,0.0457766056060791
BPSK,0.01,0.0628,0.045,16,0.45,0.0,0.9998,80.0,0.010000000000000002,8,10,0.04069185256958008
BPSK,0.01,0.0628,0.045,16,0.45,0.0,1.0002,80.0,0.010000000000000002,8,10,0.05019855499267578
BPSK,0.01,0.0628,0.045,16,0.45,0.015,0.9998,80.0,0.010000000000000002,8,10,0.03992104530334473
BPSK,0.01,0.0628,0.045,16,0.45,0.015,1.0002,80.0,0.010000000000000002,8,10,0.04888200759887695
BPSK,0.01,0.0628,0.045,32,0.0,-0.015,0.9998,90.0,0.0,9,10,0.039665937423706055
BPSK,0.01,0.0628,0.045,32,0.0,-0.015,1.0002,90.0,0.0,9,10,0.06976771354675293
BPSK,0.01,0.0628,0.045,32,0.0,0.0,0.9998,90.0,0.0,9,10,0.06252598762512207
BPSK,0.01,0.0628,0.045,32,0.0,0.0,1.0002,90.0,0.0,9,10,0.04652690887451172
BPSK,0.01,0.0628,0.045,32,0.0,0.015,0.9998,90.0,0.0,9,10,0.0567781925201416
