Modulation,FLL_BW,Costas_BW,SymSync_BW,PreambleSize,NoiseVolt,FreqOffset,TimeOffset,Platform,PDR,BER,MatchedPkts,TotalPkts,ElapsedSec
QPSK,0.0314,0.0628,0.25,64,0.0,0.005,0.9992,software,90.0,0.0,9,10,0.06174039840698242
BPSK,0.0314,0.09,0.07,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.06669950485229492
BPSK,0.0314,0.0628,0.01,64,0.0,0.005,0.9992,software,20.0,0.4,2,10,0.07100701332092285
BPSK,0.0314,0.0628,0.025,48,0.02,0.005,1.0001,hardware,90.0,0.0025000000000000005,9,10,0.052721500396728516
BPSK,0.0314,0.11,0.09,32,0.0,0.0,1.0,software,70.0,0.15,7,10,0.05369424819946289
BPSK,0.0314,0.0628,0.5,48,0.12,0.005,1.0004,hardware,0.0,0.025,0,10,0.06308841705322266
BPSK,0.0314,0.0628,1.0,48,0.25,0.005,0.9999,software,0.0,0.025,0,10,0.05642271041870117
BPSK,0.0314,0.0628,1.0,16,0.5,0.005,1.0008,software,0.0,0.025,0,10,0.10910654067993164
BPSK,0.0314,0.09,0.01,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.07014107704162598
QPSK,0.5,0.0628,0.025,32,0.02,0.03,1.0,software,0.0,0.025,0,10,0.05210280418395996
BPSK,0.0314,0.0628,0.5,32,0.02,0.005,1.0,hardware,0.0,0.025,0,10,0.06929349899291992
BPSK,0.7,0.1,0.025,32,0.02,0.02,1.0,hardware,0.0,0.025,0,10,0.04917025566101074
BPSK,0.0314,0.09,0.09,32,0.0,0.0,1.0,software,70.0,0.15,7,10,0.055480241775512695
BPSK,0.0314,0.0628,0.01,32,0.18,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.05320858955383301
BPSK,0.0314,0.0628,0.25,64,0.12,0.005,1.0004,software,80.0,0.005000000000000001,8,10,0.05416584014892578
QPSK,0.0314,0.0628,0.115,24,0.18,0.005,1.0004,hardware,90.0,0.0025000000000000005,9,10,0.05001235008239746
BPSK,0.0314,0.0628,0.25,24,0.12,0.005,0.9992,hardware,90.0,0.0025000000000000005,9,10,0.05456066131591797
BPSK,0.0314,0.0628,0.25,64,0.5,0.005,0.9999,software,60.0,0.010000000000000002,6,10,0.07055354118347168
QPSK,0.0314,0.0628,0.5,48,0.35,0.005,0.9992,software,20.0,0.020000000000000004,2,10,0.052289724349975586
BPSK,0.35,0.1,0.025,32,0.02,0.02,1.0,software,90.0,0.0025000000000000005,9,10,0.06803655624389648
QPSK,0.0314,0.0628,0.01,32,0.5,0.005,0.9992,hardware,20.0,0.020000000000000004,2,10,0.05872297286987305
QPSK,0.0314,0.0628,0.5,64,0.12,0.005,1.0004,hardware,0.0,0.025,0,10,0.05920290946960449
QPSK,0.0314,0.0628,0.115,48,0.18,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.062334537506103516
QPSK,0.0314,0.0628,0.115,64,0.35,0.005,1.0001,hardware,90.0,0.0025000000000000005,9,10,0.06935000419616699
BPSK,0.0314,0.0628,0.25,16,0.05,0.005,1.0,software,50.0,0.0125,5,10,0.050694942474365234
QPSK,0.0314,0.0628,0.115,16,0.25,0.005,0.9992,software,90.0,0.0025000000000000005,9,10,0.07402729988098145
BPSK,0.0314,0.0628,0.3,32,0.15,0.0,1.0,software,80.0,0.005000000000000001,8,10,0.07857608795166016
BPSK,0.0314,0.0628,0.5,24,0.12,0.005,1.0,hardware,0.0,0.025,0,10,0.08210897445678711
QPSK,0.0314,0.0628,0.055,24,0.0,0.005,0.9999,software,90.0,0.0,9,10,0.05631208419799805
BPSK,0.0314,0.35,0.055,32,0.0,0.0,1.0,software,90.0,0.0,9,10,0.06872677803039551
QPSK,0.0314,0.0628,0.01,64,0.02,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.06982207298278809
QPSK,0.0314,0.0628,0.25,64,0.5,0.005,1.0008,hardware,50.0,0.0125,5,10,0.08826851844787598
BPSK,0.0314,0.0628,0.01,32,0.02,0.005,0.9996,software,90.0,0.0025000000000000005,9,10,0.07287812232971191
BPSK,0.0314,0.0628,0.025,16,0.02,0.005,1.0,hardware,90.0,0.0025000000000000005,9,10,0.06329035758972168
QPSK,0.0314,0.0628,0.025,24,0.25,0.005,0.9992,hardware,90.0,0.0025000000000000005,9,10,0.07323527336120605
BPSK,0.0314,0.35,0.7,32,0.0,0.0,1.0,software,0.0,0.5,0,10,0.057520389556884766
QPSK,0.0314,0.0628,0.115,16,0.02,0.005,1.0,software,90.0,0.0025000000000000005,9,10,0.05157756805419922
QPSK,0.0314,0.0628,0.055,64,0.08,0.005,1.0004,hardware,90.0,0.0025000000000000005,9,10,0.06375622749328613
BPSK,0.5,0.0628,0.025,32,0.02,0.02,1.0,hardware,0.0,0.025,0,10,0.0590519905090332
QPSK,0.0314,0.0628,0.025,24,0.08,0.005,0.9999,hardware,90.0,0.0025000000000000005,9,10,0.05999350547790527
QPSK,0.0314,0.0628,0.25,48,0.25,0.005,0.9996,hardware,90.0,0.0025000000000000005,9,10,0.11397695541381836
BPSK,0.042,0.0628,0.025,32,0.02,0.02,1.0,software,90.0,0.0025000000000000005,9,10,0.058617353439331055
QPSK,0.005,0.0628,0.025,32,0.02,0.03,1.0,software,0.0,0.025,0,10,0.06529736518859863
BPSK,0.0314,0.0628,1.0,32,0.35,0.005,0.9999,software,0.0,0.025,0,10,0.05966520309448242
QPSK,0.005,0.03,0.025,32,0.02,-0.02,1.0,hardware,60.0,0.010000000000000002,6,10,0.06240677833557129
BPSK,0.0314,0.0628,1.0,48,0.35,0.005,0.9996,software,0.0,0.025,0,10,0.07371234893798828
QPSK,0.0314,0.0628,0.25,16,0.08,0.005,0.9999,software,80.0,0.005000000000000001,8,10,0.06579327583312988
BPSK,0.5,0.03,0.025,32,0.02,0.0,1.0,hardware,0.0,0.025,0,10,0.07351517677307129
QPSK,0.0314,0.0628,0.25,32,0.12,0.005,0.9992,hardware,90.0,0.0025000000000000005,9,10,0.052741050720214844
QPSK,0.0314,0.0628,0.115,64,0.18,0.005,0.9999,software,90.0,0.0025000000000000005,9,10,0.06484270095825195
BPSK,0.5,0.0628,0.025,32,0.02,0.01,1.0,software,0.0,0.025,0,10,0.06340837478637695
QPSK,0.0314,0.0628,0.055,16,0.5,0.005,0.9992,software,90.0,0.0025000000000000005,9,10,0.048563241958618164
QPSK,0.0314,0.0628,0.115,48,0.25,0.005,1.0008,hardware,90.0,0.0025000000000000005,9,10,0.05533766746520996
QPSK,0.0314,0.0628,1.0,32,0.05,0.005,0.9999,software,0.0,0.025,0,10,0.04987335205078125
QPSK,0.0314,0.0628,0.025,48,0.0,0.005,1.0008,software,80.0,0.1,8,10,0.057084083557128906
QPSK,0.0314,0.35,0.7,32,0.15,0.0,1.0,software,0.0,0.025,0,10,0.05365347862243652
BPSK,0.0314,0.0628,0.01,24,0.5,0.005,1.0004,software,50.0,0.0125,5,10,0.05729508399963379
QPSK,0.0314,0.0628,0.5,16,0.12,0.005,1.0,software,0.0,0.025,0,10,0.05162358283996582
